 X	PSI		Ne	Te	Zeff	SigmaH	 Stotal		NSL		Power	LinIonDens

 25.7812	0.0787872		1.023e+020	20.8523	1.69942		6.38459e-017	6.39529e-021		0.00654238	0.993479	0.649972
 25.7912	0.22307		1.023e+020	15.5101	1.68673		6.56551e-017	6.5737e-021		0.0132673	0.98682	0.663626
 25.8012	0.367255		1.023e+020	11.8107	1.6798		6.73764e-017	6.74392e-021		0.0201663	0.980036	0.676129
 25.8112	0.511341		1.023e+020	9.05739	1.67175		6.91044e-017	6.91523e-021		0.0272406	0.973127	0.688417
 25.8212	0.655328		1.01957e+020	6.82667	1.66314		7.09737e-017	7.10096e-021		0.0344805	0.966107	0.699452
 25.8312	0.799217		1.019e+020	5.23681	1.65596		7.2799e-017	7.28273e-021		0.0419016	0.958964	0.711657
 25.8412	0.943006		9.67916e+019	3.74182	1.6434		7.47563e-017	7.47789e-021		0.0491396	0.952048	0.68909
 25.8512	0.978794		7.61442e+019	2.72017	1.60601		7.51325e-017	7.51495e-021		0.0548618	0.946616	0.541672
 25.8612	0.972356		8.09073e+019	2.91135	1.61849		7.51129e-017	7.5131e-021		0.0609404	0.940879	0.571927
 25.8712	0.965922		8.54368e+019	3.13444	1.62817		7.50117e-017	7.50308e-021		0.0673508	0.934867	0.599286
 25.8812	0.959492		8.97121e+019	3.39228	1.6348		7.48358e-017	7.48561e-021		0.0740663	0.92861	0.623608
 25.8912	0.953067		9.24184e+019	3.52422	1.63799		7.48042e-017	7.48253e-021		0.0809815	0.922211	0.637731
 25.9012	0.946647		9.50746e+019	3.65219	1.64107		7.47817e-017	7.48036e-021		0.0880935	0.915675	0.651221
 25.9112	0.940231		9.8285e+019	3.82507	1.64569		7.47263e-017	7.47495e-021		0.0954402	0.908973	0.667799
 25.9212	0.933937		1.01129e+020	3.98908	1.65007		7.46652e-017	7.46895e-021		0.102993	0.902133	0.681405
 25.9312	0.92768		1.01299e+020	4.0308	1.6505		7.46048e-017	7.46291e-021		0.110553	0.895339	0.676864
 25.9412	0.921426		1.01469e+020	4.07249	1.65092		7.45451e-017	7.45696e-021		0.11812	0.88859	0.672354
 25.9512	0.915177		1.015e+020	4.13123	1.651		7.4445e-017	7.44697e-021		0.125679	0.881898	0.666598
 25.9612	0.908933		1.015e+020	4.18808	1.65111		7.43472e-017	7.4372e-021		0.133227	0.875266	0.660717
 25.9712	0.902693		1.015e+020	4.22953	1.65154		7.42768e-017	7.43016e-021		0.140769	0.86869	0.655133
 25.9812	0.896458		1.015e+020	4.27096	1.65197		7.42071e-017	7.42321e-021		0.148303	0.862169	0.649607
 25.9912	0.890281		1.015e+020	4.34999	1.652		7.40763e-017	7.41015e-021		0.155825	0.855709	0.643605
 26.0012	0.88412		1.015e+020	4.43186	1.652		7.39436e-017	7.3969e-021		0.163333	0.849309	0.637648
 26.0112	0.877963		1.015e+020	4.50237	1.65235		7.38314e-017	7.3857e-021		0.170829	0.842966	0.631928
 26.0212	0.871812		1.015e+020	4.56388	1.65299		7.37351e-017	7.37609e-021		0.178316	0.836678	0.626398
 26.0312	0.865664		1.015e+020	4.60483	1.65341		7.36718e-017	7.36977e-021		0.185796	0.830443	0.621197
 26.0412	0.859521		1.015e+020	4.64536	1.65383		7.36097e-017	7.36358e-021		0.19327	0.824259	0.616054
 26.0512	0.853383		1.015e+020	4.68603	1.654		7.3548e-017	7.35742e-021		0.200738	0.818127	0.610959
