 Horizontal PD profile on Surf 1 

 	 X	 Y	 Z	,m  	  PD, W/m2 

 	 25 	 -1 	 0	 0 
 	 25 	 -0.95 	 0	 0 
 	 25 	 -0.9 	 0	 0 
 	 25 	 -0.85 	 0	 0 
 	 25 	 -0.8 	 0	 0 
 	 25 	 -0.75 	 0	 0 
 	 25 	 -0.7 	 0	 0 
 	 25 	 -0.65 	 0	 0 
 	 25 	 -0.6 	 0	 0 
 	 25 	 -0.55 	 0	 0 
 	 25 	 -0.5 	 0	 0 
 	 25 	 -0.45 	 0	 0 
 	 25 	 -0.4 	 0	 0 
 	 25 	 -0.35 	 0	 4.56997 
 	 25 	 -0.3 	 0	 233332 
 	 25 	 -0.25 	 0	 1.19367e+007 
 	 25 	 -0.2 	 0	 4.16497e+007 
 	 25 	 -0.15 	 0	 8.55661e+007 
 	 25 	 -0.1 	 0	 1.42537e+008 
 	 25 	 -0.05 	 0	 1.85852e+008 
 	 25 	 0 	 0	 2.02932e+008 
 	 25 	 0.05 	 0	 1.85851e+008 
 	 25 	 0.1 	 0	 1.42535e+008 
 	 25 	 0.15 	 0	 8.55641e+007 
 	 25 	 0.2 	 0	 4.16483e+007 
 	 25 	 0.25 	 0	 1.19359e+007 
 	 25 	 0.3 	 0	 233092 
 	 25 	 0.35 	 0	 0 
 	 25 	 0.4 	 0	 0 
 	 25 	 0.45 	 0	 0 
 	 25 	 0.5 	 0	 0 
 	 25 	 0.55 	 0	 0 
 	 25 	 0.6 	 0	 0 
 	 25 	 0.65 	 0	 0 
 	 25 	 0.7 	 0	 0 
 	 25 	 0.75 	 0	 0 
 	 25 	 0.8 	 0	 0 
 	 25 	 0.85 	 0	 0 
 	 25 	 0.9 	 0	 0 
 	 25 	 0.95 	 0	 0 
 	 25 	 1 	 0	 0 
