 Vertical PD profile on Surf 1 

 	 X	 Y	 Z	,m  	  PD, W/m2 

 	 25 	 0 	 -1	 0 
 	 25 	 0 	 -0.95	 0 
 	 25 	 0 	 -0.9	 0 
 	 25 	 0 	 -0.85	 0 
 	 25 	 0 	 -0.8	 0 
 	 25 	 0 	 -0.75	 0 
 	 25 	 0 	 -0.7	 0 
 	 25 	 0 	 -0.65	 0 
 	 25 	 0 	 -0.6	 1.00683 
 	 25 	 0 	 -0.55	 50337.4 
 	 25 	 0 	 -0.5	 354738 
 	 25 	 0 	 -0.45	 831019 
 	 25 	 0 	 -0.4	 2.17987e+006 
 	 25 	 0 	 -0.35	 7.57395e+006 
 	 25 	 0 	 -0.3	 2.08809e+007 
 	 25 	 0 	 -0.25	 4.48049e+007 
 	 25 	 0 	 -0.2	 8.37263e+007 
 	 25 	 0 	 -0.15	 1.30592e+008 
 	 25 	 0 	 -0.1	 1.70647e+008 
 	 25 	 0 	 -0.05	 1.94847e+008 
 	 25 	 0 	 0	 2.02932e+008 
 	 25 	 0 	 0.05	 1.94846e+008 
 	 25 	 0 	 0.1	 1.70646e+008 
 	 25 	 0 	 0.15	 1.30591e+008 
 	 25 	 0 	 0.2	 8.37246e+007 
 	 25 	 0 	 0.25	 4.48037e+007 
 	 25 	 0 	 0.3	 2.08802e+007 
 	 25 	 0 	 0.35	 7.5736e+006 
 	 25 	 0 	 0.4	 2.17974e+006 
 	 25 	 0 	 0.45	 830979 
 	 25 	 0 	 0.5	 354721 
 	 25 	 0 	 0.55	 50336.4 
 	 25 	 0 	 0.6	 0 
 	 25 	 0 	 0.65	 0 
 	 25 	 0 	 0.7	 0 
 	 25 	 0 	 0.75	 0 
 	 25 	 0 	 0.8	 0 
 	 25 	 0 	 0.85	 0 
 	 25 	 0 	 0.9	 0 
 	 25 	 0 	 0.95	 0 
 	 25 	 0 	 1	 0 
